rep_id,first_name,last_name,rep_name,site,queue_name,department,job_role,can_transfer_departments,tenure_months,months_on_job,tenure_band,primary_skill_tag,secondary_skill_tag,primary_skill_label,secondary_skill_label,strengths,weaknesses,strain_tier,pressure_index_baseline,experiment_condition,qa_score,fcr_30d,repeat_contact_rate,aht_secs,csat_proxy,transfer_rate,escalation_rate,productivity_index,burnout_index,resilience_index,volatility_index,compliance_risk,gaming_propensity,misinformation_risk,policy_accuracy,discovery_skill,conflict_tolerance,technical_skill,credit_discipline,ownership_bias,emotional_regulation,aht_pressure_bias,strain_score,weakness_tags,strength_tags
REP00015,Jake,Lopez,Jake Lopez,NovaWireless,General Support,Call Center,Customer Service Representative,False,29,29,senior,fraud_unwanted_calls,device_support,fraud_unwanted_calls,device_support,fraud_unwanted_calls|device_support|generalist,none_flagged,medium,0.1359,goodhart_baseline,0.6446,0.7154,0.1629,557.33,0.6763,0.0535,0.1391,0.619,0.4627,0.8555,0.4103,0.2949,0.2913,0.1115,0.5885009030704393,0.8197674418604651,0.3602576808721506,0.5760260236333724,0.653343023255814,0.5439423385157879,0.5690460306871248,0.40037226611663107,0.5095067483154821,none,thorough_probe
REP00016,Amir,Jones,Amir Jones,NovaWireless,General Support,Call Center,Customer Service Representative,False,35,35,senior,billing_resolution,fraud_unwanted_calls,billing_support,fraud_unwanted_calls,billing_resolution|fraud_unwanted_calls|generalist,none_flagged,medium,0.1359,goodhart_baseline,0.5329,0.8021,0.2014,545.7,0.5902,0.0818,0.0682,0.6414,0.4415,0.889,0.4544,0.3263,0.3308,0.0901,0.25225767609873584,0.7019583843329253,0.711595639246779,0.5274246748290756,0.5772771317829457,0.4313106066677351,0.5102068045363575,0.3120932845592044,0.48028454750932653,policy_confusion,balanced
REP00017,Owen,Chen,Owen Chen,NovaWireless,General Support,Call Center,Customer Service Representative,False,31,31,senior,device_support,fraud_unwanted_calls,device_support,fraud_unwanted_calls,device_support|fraud_unwanted_calls|generalist,none_flagged,low,0.1359,goodhart_baseline,0.6025,0.6895,0.2945,484.71,0.68,0.0288,0.1128,0.6617,0.2127,1.0,0.4557,0.2413,0.2386,0.041,0.4617700180614089,0.41707466340269284,0.49058473736372643,0.47695614219861177,0.783187984496124,0.7476102941176471,0.5084723148765844,0.4956304010022461,0.1797267495728785,none,balanced
REP00018,Leo,James,Leo James,NovaWireless,General Support,Call Center,Customer Service Representative,False,1,1,new,billing_resolution,fraud_unwanted_calls,billing_support,fraud_unwanted_calls,billing_resolution|fraud_unwanted_calls|generalist,misinformation_risk,medium,0.1359,goodhart_baseline,0.6615,0.6702,0.2477,523.98,0.6238,0.0886,0.0534,0.6081,0.3848,0.9166,0.6578,0.2857,0.2683,0.2805,0.6393738711619505,0.5602815177478581,0.7849355797819624,0.5391520582719044,0.6756298449612403,0.5306774923866003,0.23882588392261506,0.4474804840036315,0.4870115677336241,reactive_under_stress,deescalation_strong
REP00019,Christina,Edwards,Christina Edwards,NovaWireless,General Support,Call Center,Customer Service Representative,False,40,40,senior,billing_resolution,network_service,billing_support,tech_support,billing_resolution|network_service|generalist,none_flagged,medium,0.1359,goodhart_baseline,0.6687,0.5285,0.3979,589.29,0.6177,0.1294,0.0875,0.5901,0.4837,0.8345,0.624,0.467,0.4883,0.1411,0.6610475617098133,0.10067319461444324,0.6159563924677899,0.35464840175372103,0.23643410852713165,0.4076113960570605,0.2839226150767178,0.617716383285286,0.6315158922207817,discovery_gap|credit_leak_risk|reactive_under_stress,balanced
REP00020,Mila,Howard,Mila Howard,NovaWireless,General Support,Call Center,Customer Service Representative,False,2,2,new,billing_resolution,fraud_unwanted_calls,billing_support,fraud_unwanted_calls,billing_resolution|fraud_unwanted_calls|generalist,misinformation_risk,medium,0.1359,goodhart_baseline,0.6478,0.6712,0.3288,544.47,0.6165,0.0418,0.0961,0.5921,0.3368,0.9056,0.3694,0.2257,0.2009,0.3693,0.5981336544250453,0.31211750305997554,0.5733399405351833,0.5199104996690983,0.8209786821705426,0.5022719987177432,0.6236157438292194,0.4237867320064648,0.3364386486590243,discovery_gap,balanced
REP00021,Nora,Scott,Nora Scott,NovaWireless,General Support,Call Center,Customer Service Representative,False,33,33,senior,device_support,billing_resolution,device_support,billing_support,device_support|billing_resolution|generalist,none_flagged,medium,0.1359,goodhart_baseline,0.5985,0.7228,0.1964,514.84,0.6659,0.0152,0.0547,0.6884,0.4434,0.8687,0.7276,0.2806,0.2618,0.1036,0.44972907886815183,0.7172582619339045,0.7784935579781962,0.516841379798013,0.6879844961240309,0.5428083426831224,0.1456971314209473,0.4869631875300657,0.6079781797843705,reactive_under_stress,deescalation_strong
REP00022,Chloe,Morgan,Chloe Morgan,NovaWireless,General Support,Call Center,Customer Service Representative,False,25,25,senior,fraud_unwanted_calls,network_service,fraud_unwanted_calls,tech_support,fraud_unwanted_calls|network_service|generalist,gaming_prone,medium,0.1359,goodhart_baseline,0.5775,0.7284,0.2334,536.6,0.6567,0.1178,0.0872,0.6311,0.5505,0.8426,0.5532,0.5315,0.5783,0.199,0.3865141481035521,0.6040391676866586,0.6174430128840436,0.49295379310333387,0.08018410852713187,0.4903379948709728,0.37838559039359565,0.39932699085081313,0.6579669160657363,credit_leak_risk,balanced
REP00023,Elizabeth,Powell,Elizabeth Powell,NovaWireless,General Support,Call Center,Customer Service Representative,False,44,44,senior,billing_resolution,fraud_unwanted_calls,billing_support,fraud_unwanted_calls,billing_resolution|fraud_unwanted_calls|generalist,none_flagged,medium,0.1359,goodhart_baseline,0.7385,0.7476,0.2048,536.31,0.6353,0.1277,0.0727,0.6665,0.3739,0.7913,0.438,0.3093,0.3084,0.0349,0.8711619506321494,0.6915544675642595,0.6892963330029731,0.761745849868046,0.6184593023255813,0.38110875140246825,0.5320880587058039,0.42223122028763815,0.49143729851853546,none,policy_expert
REP00024,Logan,Hall,Logan Hall,NovaWireless,General Support,Call Center,Customer Service Representative,False,24,24,senior,device_support,billing_resolution,device_support,billing_support,device_support|billing_resolution|generalist,none_flagged,low,0.1359,goodhart_baseline,0.5767,0.6498,0.2825,530.97,0.7086,0.0785,0.0631,0.603,0.31,0.9822,0.1855,0.3167,0.3629,0.0873,0.3841059602649006,0.45379436964504294,0.7368681863230921,0.38339568760419007,0.6005329457364341,0.7759331423305016,0.8689793195463642,0.4684899285115238,0.17557575787956917,none,accountability_driven
REP00025,Makayla,Moore,Makayla Moore,NovaWireless,General Support,Call Center,Customer Service Representative,False,2,2,new,billing_resolution,fraud_unwanted_calls,billing_support,fraud_unwanted_calls,billing_resolution|fraud_unwanted_calls|generalist,misinformation_risk,medium,0.1359,goodhart_baseline,0.6962,0.6645,0.2799,572.72,0.6599,0.0246,0.1287,0.6996,0.468,0.901,0.3847,0.3231,0.3502,0.3135,0.7438290186634559,0.46175030599755207,0.4117938553022794,0.5835218983584718,0.5850290697674418,0.5757843805096972,0.6032021347565043,0.5829532804293232,0.46693889972072994,none,balanced
REP00026,Jordan,Cook,Jordan Cook,NovaWireless,General Support,Call Center,Customer Service Representative,False,20,20,senior,billing_resolution,network_service,billing_support,tech_support,billing_resolution|network_service|generalist,none_flagged,medium,0.1359,goodhart_baseline,0.5716,0.6243,0.3883,530.9,0.6605,0.0197,0.0889,0.5916,0.4429,0.769,0.4389,0.3142,0.3151,0.1319,0.3687537627934979,0.1300489596083232,0.6090188305252724,0.34056656984450184,0.6065891472868217,0.39705080942458726,0.5308872581721147,0.48774336594555256,0.5734601149162449,discovery_gap,balanced
REP00027,Aiden,Scott,Aiden Scott,NovaWireless,General Support,Call Center,Customer Service Representative,False,34,34,senior,fraud_unwanted_calls,billing_resolution,fraud_unwanted_calls,billing_support,fraud_unwanted_calls|billing_resolution|generalist,none_flagged,medium,0.1359,goodhart_baseline,0.6415,0.7304,0.2988,554.75,0.7251,0.059,0.0997,0.6893,0.4236,0.9148,0.5389,0.372,0.3639,0.0755,0.5791691751956651,0.4039167686658507,0.5555004955401387,0.5920384061806834,0.4665697674418604,0.7144384116044236,0.3974649766511006,0.47774143943667496,0.4765611904893772,none,balanced
REP00028,Lily,Hall,Lily Hall,NovaWireless,General Support,Call Center,Customer Service Representative,False,46,46,senior,device_support,billing_resolution,device_support,billing_support,device_support|billing_resolution|generalist,none_flagged,medium,0.1359,goodhart_baseline,0.657,0.7249,0.1231,547.03,0.66,0.0797,0.0943,0.6449,0.3719,0.9375,0.5889,0.3233,0.3319,0.0541,0.6258278145695365,0.9415544675642594,0.5822596630327056,0.6077857021565631,0.584544573643411,0.6256957244750762,0.3307538358905938,0.4233987769552624,0.4304893707985366,reactive_under_stress,thorough_probe
REP00029,Andre,Ruiz,Andre Ruiz,NovaWireless,General Support,Call Center,Customer Service Representative,False,25,25,senior,device_support,general_support,device_support,general_support,device_support|general_support|generalist,none_flagged,low,0.1359,goodhart_baseline,0.7604,0.6338,0.3393,509.68,0.674,0.0658,0.0581,0.7024,0.3059,1.0,0.2252,0.1518,0.1596,0.078,0.9370860927152317,0.27998776009791926,0.761645193260654,0.6378289575790109,1.0,0.7365808823529412,0.8160106737825217,0.6291799186251879,0.17314669444074338,discovery_gap,policy_expert|deescalation_strong
REP00030,Jamie,Harris,Jamie Harris,NovaWireless,General Support,Call Center,Customer Service Representative,False,36,36,senior,billing_resolution,fraud_unwanted_calls,billing_support,fraud_unwanted_calls,billing_resolution|fraud_unwanted_calls|generalist,none_flagged,medium,0.1359,goodhart_baseline,0.6498,0.6077,0.3766,533.1,0.7961,0.0555,0.1053,0.6808,0.3703,0.8942,0.5763,0.3365,0.3724,0.0999,0.6041541240216738,0.16585067319461455,0.5277502477700693,0.43538282434885733,0.5525678294573643,0.8168877223914088,0.34756504336224137,0.6350345444960103,0.45937017770103317,discovery_gap|reactive_under_stress,accountability_driven
REP00031,Amir,Clark,Amir Clark,NovaWireless,General Support,Call Center,Customer Service Representative,False,42,42,senior,device_support,fraud_unwanted_calls,device_support,fraud_unwanted_calls,device_support|fraud_unwanted_calls|generalist,none_flagged,low,0.1359,goodhart_baseline,0.6712,0.7507,0.1855,496.59,0.7156,0.0222,0.0957,0.6344,0.3511,0.8981,0.1894,0.2546,0.2181,0.0132,0.6685731487055991,0.7506119951040392,0.5753221010901883,0.6647249531782752,0.750968992248062,0.6742231327135759,0.8637758505670446,0.37318784153714635,0.28366780995413066,none,thorough_probe
REP00032,Ashley,Wright,Ashley Wright,NovaWireless,General Support,Call Center,Customer Service Representative,False,26,26,senior,network_service,general_support,tech_support,general_support,network_service|general_support|generalist,none_flagged,medium,0.1359,goodhart_baseline,0.5522,0.7566,0.2366,526.88,0.6512,0.095,0.141,0.6244,0.4255,0.9117,0.5149,0.2849,0.3278,0.1204,0.3103552077062012,0.5942472460220318,0.35084241823587714,0.4937494262958908,0.6775678294573644,0.5743693901266227,0.42948632421614397,0.3511073965251316,0.471235571056198,policy_confusion,balanced
REP00033,Eric,Roberts,Eric Roberts,NovaWireless,General Support,Call Center,Customer Service Representative,False,49,49,senior,fraud_unwanted_calls,billing_resolution,fraud_unwanted_calls,billing_support,fraud_unwanted_calls|billing_resolution|generalist,none_flagged,medium,0.1359,goodhart_baseline,0.6048,0.5874,0.3136,553.58,0.6437,0.0459,0.0897,0.6079,0.4713,0.9181,0.3637,0.3781,0.3348,0.0417,0.4686935580975316,0.35862913096695226,0.6050545094152626,0.33966798114416147,0.4517926356589147,0.5693019714697869,0.6312208138759172,0.561345464571271,0.44758887968673283,none,balanced
REP00034,Kaitlyn,Johnson,Kaitlyn Johnson,NovaWireless,General Support,Call Center,Customer Service Representative,False,3,3,new,billing_resolution,fraud_unwanted_calls,billing_support,fraud_unwanted_calls,billing_resolution|fraud_unwanted_calls|generalist,misinformation_risk,medium,0.1359,goodhart_baseline,0.7398,0.6317,0.2681,540.44,0.6534,0.1175,0.0305,0.7043,0.5419,0.8691,0.5831,0.3709,0.3724,0.4201,0.8750752558699579,0.49785801713586286,0.8984142715559961,0.6039285846485164,0.469234496124031,0.520375360634717,0.3384923282188126,0.6347248033980386,0.6403665409243428,reactive_under_stress,policy_expert|deescalation_strong
REP00035,Mason,Thomas,Mason Thomas,NovaWireless,General Support,Call Center,Customer Service Representative,False,4,4,new,billing_resolution,network_service,billing_support,tech_support,billing_resolution|network_service|generalist,misinformation_risk,low,0.1359,goodhart_baseline,0.5972,0.6475,0.2688,522.78,0.6132,0.1412,0.1472,0.5512,0.3647,0.9387,0.3019,0.3782,0.3777,0.3788,0.445815773630343,0.49571603427172584,0.32011892963330024,0.4110799298259241,0.45155038759689925,0.5413011900945663,0.7136757838559039,0.3994151257479643,0.3080126919710713,escalation_prone,balanced
REP00036,Hazel,Jones,Hazel Jones,NovaWireless,General Support,Call Center,Customer Service Representative,False,5,5,new,network_service,device_support,tech_support,device_support,network_service|device_support|generalist,misinformation_risk,medium,0.1359,goodhart_baseline,0.6619,0.6685,0.2992,539.22,0.7077,0.0408,0.1393,0.5598,0.4208,0.9523,0.4989,0.2984,0.2025,0.4276,0.6405779650812765,0.4026927784577723,0.3592666005946481,0.5374105706299682,0.6448643410852712,0.7335430357429076,0.4508338892595063,0.382460001868829,0.42732244486142795,none,balanced
REP00037,Ari,Rodriguez,Ari Rodriguez,NovaWireless,General Support,Call Center,Customer Service Representative,False,19,19,senior,network_service,fraud_unwanted_calls,tech_support,fraud_unwanted_calls,network_service|fraud_unwanted_calls|generalist,none_flagged,medium,0.1359,goodhart_baseline,0.5334,0.739,0.201,571.0,0.6289,0.0356,0.1439,0.5874,0.5015,0.8997,0.501,0.3598,0.3475,0.1162,0.2537627934978928,0.7031823745410036,0.3364717542120912,0.44119074331635744,0.49612403100775193,0.5170279692258375,0.44803202134756503,0.3237659672401204,0.5453501218551364,policy_confusion|escalation_prone,balanced
REP00038,Jaden,Hernandez,Jaden Hernandez,NovaWireless,General Support,Call Center,Customer Service Representative,False,32,32,senior,billing_resolution,general_support,billing_support,general_support,billing_resolution|general_support|generalist,none_flagged,medium,0.1359,goodhart_baseline,0.591,0.7409,0.2583,552.99,0.6785,0.1156,0.0739,0.613,0.3989,1.0,0.5698,0.3829,0.4414,0.0951,0.4271523178807946,0.5278457772337821,0.6833498513379583,0.5305047500625368,0.4401647286821705,0.7448529411764706,0.3562374916611074,0.3568510462558242,0.3965762358388316,none,balanced
REP00039,Eva,Wong,Eva Wong,NovaWireless,General Support,Call Center,Customer Service Representative,False,34,34,senior,billing_resolution,device_support,billing_support,device_support,billing_resolution|device_support|generalist,none_flagged,medium,0.1359,goodhart_baseline,0.6756,0.7129,0.2337,551.56,0.6451,0.0731,0.0516,0.646,0.4492,0.7733,0.5707,0.2721,0.2559,0.0439,0.6818181818181818,0.6031211750305998,0.7938553022794846,0.6192382885931272,0.7085755813953488,0.37460029652187843,0.3550366911274182,0.44147554429643787,0.6284920706600673,none,deescalation_strong
REP00040,Maria,Lopez,Maria Lopez,NovaWireless,General Support,Call Center,Customer Service Representative,False,33,33,senior,porting_transfer,device_support,porting_support,device_support,porting_transfer|device_support|generalist,none_flagged,medium,0.1359,goodhart_baseline,0.7035,0.6949,0.1903,540.92,0.7517,0.1164,0.1045,0.5684,0.4527,0.7927,0.455,0.4132,0.4684,0.1093,0.76580373269115,0.7359241126070992,0.5317145688800793,0.6364171682479736,0.36676356589147285,0.5969866965859913,0.5094062708472313,0.35806070925520256,0.5695405372321067,none,policy_expert
REP00041,Eric,Morgan,Eric Morgan,NovaWireless,General Support,Call Center,Customer Service Representative,False,5,5,new,network_service,billing_resolution,tech_support,billing_support,network_service|billing_resolution|generalist,misinformation_risk,medium,0.1359,goodhart_baseline,0.6405,0.7722,0.2756,513.04,0.7482,0.0393,0.01,0.7016,0.3556,1.0,0.546,0.169,0.1714,0.2655,0.5761589403973508,0.4749082007343941,1.0,0.6481566689855516,0.9583333333333333,0.8729779411764704,0.38799199466310863,0.43727287094813083,0.34724294400511246,none,accountability_driven|deescalation_strong
REP00042,Logan,Wong,Logan Wong,NovaWireless,General Support,Call Center,Customer Service Representative,False,5,5,new,porting_transfer,fraud_unwanted_calls,porting_support,fraud_unwanted_calls,porting_transfer|fraud_unwanted_calls|generalist,misinformation_risk,low,0.1359,goodhart_baseline,0.6393,0.6896,0.2735,512.2,0.6773,0.0773,0.1406,0.6881,0.3027,1.0,0.6055,0.293,0.2795,0.3926,0.5725466586393738,0.4813341493268053,0.352824578790882,0.5324823174641589,0.6579457364341086,0.7426470588235294,0.30860573715810535,0.5323126297076899,0.3224263229803551,reactive_under_stress,balanced
REP00043,Maya,Morgan,Maya Morgan,NovaWireless,General Support,Call Center,Customer Service Representative,False,25,25,senior,billing_resolution,device_support,billing_support,device_support,billing_resolution|device_support|generalist,none_flagged,low,0.1359,goodhart_baseline,0.7245,0.7809,0.1967,547.2,0.6293,0.0374,0.0278,0.7067,0.3192,1.0,0.5459,0.3211,0.3085,0.1454,0.8290186634557497,0.7163402692778458,0.9117938553022795,0.786579913475876,0.5898740310077519,0.6544117647058822,0.38812541694462965,0.43239245869830295,0.31373934572791884,none,policy_expert|deescalation_strong
REP00044,Henry,Rodriguez,Henry Rodriguez,NovaWireless,General Support,Call Center,Customer Service Representative,False,40,40,senior,porting_transfer,billing_resolution,porting_support,billing_support,porting_transfer|billing_resolution|generalist,none_flagged,medium,0.1359,goodhart_baseline,0.6859,0.6114,0.2771,556.05,0.7246,0.0256,0.1095,0.6299,0.4317,0.7747,0.5527,0.2455,0.2135,0.0359,0.7128236002408187,0.4703182374541003,0.5069375619425173,0.494818196591322,0.7730135658914729,0.5226473593524604,0.37905270180120076,0.5589436732640943,0.6040545977155638,none,balanced
REP00045,Michelle,Chen,Michelle Chen,NovaWireless,General Support,Call Center,Customer Service Representative,False,3,3,new,billing_resolution,fraud_unwanted_calls,billing_support,fraud_unwanted_calls,billing_resolution|fraud_unwanted_calls|generalist,misinformation_risk,medium,0.1359,goodhart_baseline,0.5803,0.646,0.3226,542.62,0.6351,0.1415,0.1091,0.5797,0.5322,0.9256,0.6725,0.3347,0.3596,0.4171,0.39494280553883215,0.3310893512851898,0.5089197224975222,0.38357562113169896,0.5569282945736433,0.5637111315916011,0.21921280853902603,0.4412319043713294,0.6210476204926059,discovery_gap|reactive_under_stress,balanced
REP00046,Mia,Clark,Mia Clark,NovaWireless,General Support,Call Center,Customer Service Representative,False,33,33,senior,network_service,billing_resolution,tech_support,billing_support,network_service|billing_resolution|generalist,none_flagged,high,0.1359,goodhart_baseline,0.7443,0.6445,0.2797,551.43,0.6864,0.089,0.105,0.6847,0.5531,0.7359,0.6232,0.2923,0.2735,0.0635,0.888621312462372,0.46236230110159116,0.5292368681863231,0.628347049944999,0.659641472868217,0.39956573569482284,0.28498999332888597,0.5897432436641508,0.7755965587457827,reactive_under_stress,policy_expert
